id,name,abstract,layer
CWE-1311,Improper Translation of Security Attributes by Fabric Bridge,Base,{"CWE-284":1}
CWE-1312,Missing Protection for Mirrored Regions in On-Chip Fabric Firewall,Base,{"CWE-284":1}
CWE-1313,Hardware Allows Activation of Test or Debug Logic at Runtime,Base,{"CWE-284":1}
CWE-862,Missing Authorization,Class,{"CWE-284":2}
CWE-1314,Missing Write Protection for Parametric Data Values,Base,{"CWE-284":3}
CWE-1315,Improper Setting of Bus Controlling Capability in Fabric End-point,Base,{"CWE-284":1}
CWE-1316,Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges,Base,{"CWE-284":1}
CWE-1317,Improper Access Control in Fabric Bridge,Base,{"CWE-284":1}
CWE-1320,Improper Protection for Outbound Error Messages and Alert Signals,Base,{"CWE-284":1}
CWE-1323,Improper Management of Sensitive Trace Data,Base,{"CWE-284":1}
CWE-1328,Security Version Number Mutable to Older Versions,Base,{"CWE-284":2}
CWE-1334,Unauthorized Error Injection Can Degrade Hardware Redundancy,Base,{"CWE-284":1}
CWE-287,Improper Authentication,Class,{"CWE-284":1}
CWE-1390,Weak Authentication,Class,{"CWE-284":2}
CWE-1391,Use of Weak Credentials,Class,{"CWE-284":3}
CWE-1392,Use of Default Credentials,Base,{"CWE-284":4}
CWE-1393,Use of Default Password,Base,{"CWE-284":5}
CWE-1394,Use of Default Cryptographic Key,Base,{"CWE-284":5}
CWE-202,Exposure of Sensitive Information Through Data Queries,Base,{"CWE-284":3}
CWE-269,Improper Privilege Management,Class,{"CWE-284":1}
CWE-250,Execution with Unnecessary Privileges,Base,{"CWE-284":2}
CWE-522,Insufficiently Protected Credentials,Class,{"CWE-284":3}
CWE-256,Plaintext Storage of a Password,Base,{"CWE-284":4}
CWE-257,Storing Passwords in a Recoverable Format,Base,{"CWE-284":4}
CWE-258,Empty Password in Configuration File,Variant,{"CWE-284":5}
CWE-798,Use of Hard-coded Credentials,Base,{"CWE-284":4}
CWE-259,Use of Hard-coded Password,Variant,{"CWE-284":5}
CWE-261,Weak Encoding for Password,Base,{"CWE-284":4}
CWE-262,Not Using Password Aging,Base,{"CWE-284":3}
CWE-263,Password Aging with Long Expiration,Base,{"CWE-284":3}
CWE-267,Privilege Defined With Unsafe Actions,Base,{"CWE-284":2}
CWE-268,Privilege Chaining,Base,{"CWE-284":2}
CWE-270,Privilege Context Switching Error,Base,{"CWE-284":2}
CWE-271,Privilege Dropping / Lowering Errors,Class,{"CWE-284":2}
CWE-272,Least Privilege Violation,Base,{"CWE-284":3}
CWE-276,Incorrect Default Permissions,Base,{"CWE-284":3}
CWE-277,Insecure Inherited Permissions,Variant,{"CWE-284":3}
CWE-278,Insecure Preserved Inherited Permissions,Variant,{"CWE-284":3}
CWE-279,Incorrect Execution-Assigned Permissions,Variant,{"CWE-284":3}
CWE-281,Improper Preservation of Permissions,Base,{"CWE-284":3}
CWE-282,Improper Ownership Management,Class,{"CWE-284":1}
CWE-283,Unverified Ownership,Base,{"CWE-284":2}
CWE-286,Incorrect User Management,Class,{"CWE-284":1}
CWE-306,Missing Authentication for Critical Function,Base,{"CWE-284":2}
CWE-288,Authentication Bypass Using an Alternate Path or Channel,Base,{"CWE-284":3}
CWE-289,Authentication Bypass by Alternate Name,Base,{"CWE-284":3}
CWE-290,Authentication Bypass by Spoofing,Base,{"CWE-284":3}
CWE-291,Reliance on IP Address for Authentication,Variant,{"CWE-284":4}
CWE-293,Using Referer Field for Authentication,Variant,{"CWE-284":4}
CWE-294,Authentication Bypass by Capture-replay,Base,{"CWE-284":3}
CWE-295,Improper Certificate Validation,Base,{"CWE-284":2}
CWE-296,Improper Following of a Certificate's Chain of Trust,Base,{"CWE-284":3}
CWE-297,Improper Validation of Certificate with Host Mismatch,Variant,{"CWE-284":2}
CWE-298,Improper Validation of Certificate Expiration,Variant,{"CWE-284":3}
CWE-299,Improper Check for Certificate Revocation,Base,{"CWE-284":3}
CWE-300,Channel Accessible by Non-Endpoint,Class,{"CWE-284":2}
CWE-301,Reflection Attack in an Authentication Protocol,Base,{"CWE-284":3}
CWE-302,Authentication Bypass by Assumed-Immutable Data,Base,{"CWE-284":3}
CWE-303,Incorrect Implementation of Authentication Algorithm,Base,{"CWE-284":3}
CWE-304,Missing Critical Step in Authentication,Base,{"CWE-284":4}
CWE-305,Authentication Bypass by Primary Weakness,Base,{"CWE-284":3}
CWE-307,Improper Restriction of Excessive Authentication Attempts,Base,{"CWE-284":3}
CWE-308,Use of Single-factor Authentication,Base,{"CWE-284":3}
CWE-309,Use of Password System for Primary Authentication,Base,{"CWE-284":3}
CWE-321,Use of Hard-coded Cryptographic Key,Variant,{"CWE-284":5}
CWE-322,Key Exchange without Entity Authentication,Base,{"CWE-284":3}
CWE-350,Reliance on Reverse DNS Resolution for a Security-Critical Action,Variant,{"CWE-284":4}
CWE-370,Missing Check for Certificate Revocation after Initial Check,Variant,{"CWE-284":4}
CWE-419,Unprotected Primary Channel,Base,{"CWE-284":2}
CWE-421,Race Condition During Access to Alternate Channel,Base,{"CWE-284":3}
CWE-422,Unprotected Windows Messaging Channel ('Shatter'),Variant,{"CWE-284":3}
CWE-425,Direct Request ('Forced Browsing'),Base,{"CWE-284":3}
CWE-520,.NET Misconfiguration: Use of Impersonation,Variant,{"CWE-284":3}
CWE-521,Weak Password Requirements,Base,{"CWE-284":4}
CWE-523,Unprotected Transport of Credentials,Base,{"CWE-284":4}
CWE-549,Missing Password Field Masking,Base,{"CWE-284":4}
CWE-551,Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,Base,{"CWE-284":3}
CWE-555,J2EE Misconfiguration: Plaintext Password in Configuration File,Variant,{"CWE-284":5}
CWE-556,ASP.NET Misconfiguration: Use of Identity Impersonation,Variant,{"CWE-284":3}
CWE-639,Authorization Bypass Through User-Controlled Key,Base,{"CWE-284":3}
CWE-566,Authorization Bypass Through User-Controlled SQL Primary Key,Variant,{"CWE-284":4}
CWE-599,Missing Validation of OpenSSL Certificate,Variant,{"CWE-284":3}
CWE-603,Use of Client-Side Authentication,Base,{"CWE-284":3}
CWE-612,Improper Authorization of Index Containing Sensitive Information,Base,{"CWE-284":3}
CWE-749,Exposed Dangerous Method or Function,Base,{"CWE-284":1}
CWE-618,Exposed Unsafe ActiveX Method,Variant,{"CWE-284":2}
CWE-620,Unverified Password Change,Base,{"CWE-284":3}
CWE-623,Unsafe ActiveX Control Marked Safe For Scripting,Variant,{"CWE-284":3}
CWE-640,Weak Password Recovery Mechanism for Forgotten Password,Base,{"CWE-284":3}
CWE-645,Overly Restrictive Account Lockout Mechanism,Base,{"CWE-284":2}
CWE-647,Use of Non-Canonical URL Paths for Authorization Decisions,Variant,{"CWE-284":3}
CWE-648,Incorrect Use of Privileged APIs,Base,{"CWE-284":2}
CWE-708,Incorrect Ownership Assignment,Base,{"CWE-284":2}
CWE-766,Critical Data Element Declared Public,Base,{"CWE-284":3}
CWE-782,Exposed IOCTL with Insufficient Access Control,Variant,{"CWE-284":2}
CWE-804,Guessable CAPTCHA,Base,{"CWE-284":3}
CWE-836,Use of Password Hash Instead of Password for Authentication,Base,{"CWE-284":3}
CWE-842,Placement of User into Incorrect Group,Base,{"CWE-284":2}
CWE-9,J2EE Misconfiguration: Weak Access Permissions for EJB Methods,Variant,{"CWE-284":3}
CWE-940,Improper Verification of Source of a Communication Channel,Base,{"CWE-284":2}
CWE-925,Improper Verification of Intent by Broadcast Receiver,Variant,{"CWE-284":3}
CWE-926,Improper Export of Android Application Components,Variant,{"CWE-284":2}
CWE-927,Use of Implicit Intent for Sensitive Communication,Variant,{"CWE-284":2}
CWE-939,Improper Authorization in Handler for Custom URL Scheme,Base,{"CWE-284":3}
CWE-941,Incorrectly Specified Destination in a Communication Channel,Base,{"CWE-284":2}
CWE-942,Permissive Cross-domain Policy with Untrusted Domains,Variant,{"CWE-284":3}
CWE-1038,Insecure Automated Optimizations,Class,{"CWE-435":1}
CWE-1037,Processor Optimization Removal or Modification of Security-critical Code,Base,{"CWE-435":2}
CWE-435,Improper Interaction Between Multiple Correctly-Behaving Entities,Pillar,{"CWE-435":0}
CWE-436,Interpretation Conflict,Class,{"CWE-435":1}
CWE-115,Misinterpretation of Input,Base,{"CWE-435":2}
CWE-733,Compiler Optimization Removal or Modification of Security-critical Code,Base,{"CWE-435":2}
CWE-14,Compiler Removal of Code to Clear Buffers,Variant,{"CWE-435":3}
CWE-437,Incomplete Model of Endpoint Features,Base,{"CWE-435":2}
CWE-439,Behavioral Change in New Version or Environment,Base,{"CWE-435":1}
CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),Base,{"CWE-435":2}
CWE-650,Trusting HTTP Permission Methods on the Server Side,Variant,{"CWE-435":2}
CWE-441,Unintended Proxy or Intermediary ('Confused Deputy'),Class,{"CWE-664":2}
CWE-1021,Improper Restriction of Rendered UI Layers or Frames,Base,{"CWE-664":3}
CWE-1176,Inefficient CPU Computation,Class,{"CWE-664":3}
CWE-1042,Static Member Data Element outside of a Singleton Class Element,Variant,{"CWE-664":4}
CWE-1046,Creation of Immutable Text Using String Concatenation,Base,{"CWE-664":4}
CWE-1049,Excessive Data Query Operations in a Large Data Table,Base,{"CWE-664":4}
CWE-405,Asymmetric Resource Consumption (Amplification),Class,{"CWE-664":2}
CWE-1050,Excessive Platform Resource Consumption within a Loop,Base,{"CWE-664":3}
CWE-1419,Incorrect Initialization of Resource,Class,{"CWE-664":2}
CWE-1051,Initialization with Hard-Coded Network Resource Configuration Data,Base,{"CWE-664":3}
CWE-1052,Excessive Use of Hard-Coded Literals in Initialization,Base,{"CWE-664":3}
CWE-662,Improper Synchronization,Class,{"CWE-664":1}
CWE-1058,Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element,Base,{"CWE-664":2}
CWE-1063,Creation of Class Instance within a Static Code Block,Base,{"CWE-664":4}
CWE-1067,Excessive Execution of Sequential Searches of Data Resource,Base,{"CWE-664":4}
CWE-1072,Data Resource Access without Use of Connection Pooling,Base,{"CWE-664":3}
CWE-1073,Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses,Base,{"CWE-664":3}
CWE-1084,Invokable Control Element with Excessive File or Data Access Operations,Base,{"CWE-664":3}
CWE-821,Incorrect Synchronization,Base,{"CWE-664":2}
CWE-1088,Synchronous Access of Remote Resource without Timeout,Base,{"CWE-664":3}
CWE-1089,Large Data Table with Excessive Number of Indices,Base,{"CWE-664":3}
CWE-772,Missing Release of Resource after Effective Lifetime,Base,{"CWE-664":2}
CWE-1091,Use of Object without Invoking Destructor Method,Base,{"CWE-664":3}
CWE-1094,Excessive Index Range Scan for a Data Resource,Base,{"CWE-664":3}
CWE-820,Missing Synchronization,Base,{"CWE-664":2}
CWE-1096,Singleton Class Instance Creation without Proper Locking or Synchronization,Variant,{"CWE-664":3}
CWE-73,External Control of File Name or Path,Base,{"CWE-664":3}
CWE-114,Process Control,Class,{"CWE-664":4}
CWE-664,Improper Control of a Resource Through its Lifetime,Pillar,{"CWE-664":0}
CWE-118,Incorrect Access of Indexable Resource ('Range Error'),Class,{"CWE-664":1}
CWE-1188,Initialization of a Resource with an Insecure Default,Base,{"CWE-664":3}
CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Class,{"CWE-664":2}
CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Base,{"CWE-664":3}
CWE-788,Access of Memory Location After End of Buffer,Base,{"CWE-664":3}
CWE-121,Stack-based Buffer Overflow,Variant,{"CWE-664":4}
CWE-122,Heap-based Buffer Overflow,Variant,{"CWE-664":4}
CWE-1221,Incorrect Register Defaults or Module Parameters,Base,{"CWE-664":3}
CWE-1229,Creation of Emergent Resource,Class,{"CWE-664":1}
CWE-787,Out-of-bounds Write,Base,{"CWE-664":3}
CWE-123,Write-what-where Condition,Base,{"CWE-664":4}
CWE-667,Improper Locking,Class,{"CWE-664":2}
CWE-1232,Improper Lock Behavior After Power State Transition,Base,{"CWE-664":3}
CWE-1234,Hardware Internal or Debug Modes Allow Override of Locks,Base,{"CWE-664":3}
CWE-400,Uncontrolled Resource Consumption,Class,{"CWE-664":1}
CWE-1235,Incorrect Use of Autoboxing and Unboxing for Performance Critical Operations,Base,{"CWE-664":2}
CWE-226,Sensitive Information in Resource Not Removed Before Reuse,Base,{"CWE-664":3}
CWE-1239,Improper Zeroization of Hardware Register,Variant,{"CWE-664":4}
CWE-786,Access of Memory Location Before Start of Buffer,Base,{"CWE-664":3}
CWE-124,Buffer Underwrite ('Buffer Underflow'),Base,{"CWE-664":4}
CWE-1246,Improper Write Handling in Limited-write Non-Volatile Memories,Base,{"CWE-664":2}
CWE-1250,Improper Preservation of Consistency Between Independent Representations of Shared State,Base,{"CWE-664":1}
CWE-1249,Application-Level Admin Tool with Inconsistent View of Underlying Operating System,Base,{"CWE-664":2}
CWE-125,Out-of-bounds Read,Base,{"CWE-664":3}
CWE-1251,Mirrored Regions with Different Values,Base,{"CWE-664":2}
CWE-208,Observable Timing Discrepancy,Base,{"CWE-664":4}
CWE-1254,Incorrect Comparison Logic Granularity,Base,{"CWE-664":5}
CWE-1300,Improper Protection of Physical Side Channels,Base,{"CWE-664":4}
CWE-1255,Comparison Logic is Vulnerable to Power Side-Channel Attacks,Variant,{"CWE-664":5}
CWE-212,Improper Removal of Sensitive Information Before Storage or Transfer,Base,{"CWE-664":2}
CWE-1258,Exposure of Sensitive System Information Due to Uncleared Debug Information,Base,{"CWE-664":3}
CWE-126,Buffer Over-read,Variant,{"CWE-664":4}
CWE-1264,Hardware Logic with Insecure De-Synchronization between Control and Data Channels,Base,{"CWE-664":3}
CWE-404,Improper Resource Shutdown or Release,Class,{"CWE-664":1}
CWE-1266,Improper Scrubbing of Sensitive Data from Decommissioned Device,Base,{"CWE-664":2}
CWE-127,Buffer Under-read,Variant,{"CWE-664":4}
CWE-909,Missing Initialization of Resource,Class,{"CWE-664":2}
CWE-1271,Uninitialized Value on Reset for Registers Holding Security Settings,Base,{"CWE-664":3}
CWE-1272,Sensitive Information Uncleared Before Debug/Power State Transition,Base,{"CWE-664":4}
CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Class,{"CWE-664":2}
CWE-1273,Device Unlock Credential Sharing,Base,{"CWE-664":3}
CWE-668,Exposure of Resource to Wrong Sphere,Class,{"CWE-664":1}
CWE-1282,Assumed-Immutable Data is Stored in Writable Memory,Base,{"CWE-664":2}
CWE-1295,Debug Messages Revealing Unnecessary Information,Base,{"CWE-664":3}
CWE-203,Observable Discrepancy,Base,{"CWE-664":3}
CWE-1301,Insufficient or Incomplete Data Removal within Hardware Component,Base,{"CWE-664":4}
CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,Base,{"CWE-664":2}
CWE-1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),Variant,{"CWE-664":3}
CWE-770,Allocation of Resources Without Limits or Throttling,Base,{"CWE-664":2}
CWE-1325,Improperly Controlled Sequential Memory Allocation,Base,{"CWE-664":3}
CWE-1327,Binding to an Unrestricted IP Address,Base,{"CWE-664":2}
CWE-1330,Remanent Data Readable after Memory Erase,Variant,{"CWE-664":5}
CWE-407,Inefficient Algorithmic Complexity,Class,{"CWE-664":3}
CWE-1333,Inefficient Regular Expression Complexity,Base,{"CWE-664":4}
CWE-134,Use of Externally-Controlled Format String,Base,{"CWE-664":2}
CWE-1342,Information Exposure through Microarchitectural State after Transient Execution,Base,{"CWE-664":4}
CWE-59,Improper Link Resolution Before File Access ('Link Following'),Base,{"CWE-664":2}
CWE-1386,Insecure Operation on Windows Junction / Mount Point,Base,{"CWE-664":3}
CWE-704,Incorrect Type Conversion or Cast,Class,{"CWE-664":1}
CWE-1389,Incorrect Parsing of Numbers with Different Radices,Base,{"CWE-664":2}
CWE-665,Improper Initialization,Class,{"CWE-664":1}
CWE-669,Incorrect Resource Transfer Between Spheres,Class,{"CWE-664":1}
CWE-1420,Exposure of Sensitive Information during Transient Execution,Base,{"CWE-664":2}
CWE-1421,Exposure of Sensitive Information in Shared Microarchitectural Structures during Transient Execution,Base,{"CWE-664":3}
CWE-1422,Exposure of Sensitive Information caused by Incorrect Data Forwarding during Transient Execution,Base,{"CWE-664":3}
CWE-1423,Exposure of Sensitive Information caused by Shared Microarchitectural Predictor State that Influences Transient Execution,Base,{"CWE-664":3}
CWE-642,External Control of Critical State Data,Class,{"CWE-664":2}
CWE-15,External Control of System or Configuration Setting,Base,{"CWE-664":3}
CWE-706,Use of Incorrectly-Resolved Name or Reference,Class,{"CWE-664":1}
CWE-178,Improper Handling of Case Sensitivity,Base,{"CWE-664":2}
CWE-681,Incorrect Conversion between Numeric Types,Base,{"CWE-664":2}
CWE-192,Integer Coercion Error,Variant,{"CWE-664":3}
CWE-194,Unexpected Sign Extension,Variant,{"CWE-664":3}
CWE-195,Signed to Unsigned Conversion Error,Variant,{"CWE-664":3}
CWE-196,Unsigned to Signed Conversion Error,Variant,{"CWE-664":3}
CWE-197,Numeric Truncation Error,Base,{"CWE-664":3}
CWE-201,Insertion of Sensitive Information Into Sent Data,Base,{"CWE-664":3}
CWE-204,Observable Response Discrepancy,Base,{"CWE-664":4}
CWE-205,Observable Behavioral Discrepancy,Base,{"CWE-664":4}
CWE-206,Observable Internal Behavioral Discrepancy,Variant,{"CWE-664":5}
CWE-207,Observable Behavioral Discrepancy With Equivalent Products,Variant,{"CWE-664":5}
CWE-209,Generation of Error Message Containing Sensitive Information,Base,{"CWE-664":3}
CWE-210,Self-generated Error Message Containing Sensitive Information,Base,{"CWE-664":4}
CWE-211,Externally-Generated Error Message Containing Sensitive Information,Base,{"CWE-664":4}
CWE-213,Exposure of Sensitive Information Due to Incompatible Policies,Base,{"CWE-664":3}
CWE-497,Exposure of Sensitive System Information to an Unauthorized Control Sphere,Base,{"CWE-664":3}
CWE-214,Invocation of Process Using Visible Sensitive Information,Base,{"CWE-664":4}
CWE-215,Insertion of Sensitive Information Into Debugging Code,Base,{"CWE-664":3}
CWE-552,Files or Directories Accessible to External Parties,Base,{"CWE-664":2}
CWE-219,Storage of File with Sensitive Data Under Web Root,Variant,{"CWE-664":3}
CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Base,{"CWE-664":2}
CWE-220,Storage of File With Sensitive Data Under FTP Root,Variant,{"CWE-664":3}
CWE-221,Information Loss or Omission,Class,{"CWE-664":1}
CWE-222,Truncation of Security-relevant Information,Base,{"CWE-664":2}
CWE-223,Omission of Security-relevant Information,Base,{"CWE-664":2}
CWE-224,Obscured Security-relevant Information by Alternate Name,Base,{"CWE-664":2}
CWE-459,Incomplete Cleanup,Base,{"CWE-664":2}
CWE-23,Relative Path Traversal,Base,{"CWE-664":3}
CWE-24,Path Traversal: '../filedir',Variant,{"CWE-664":4}
CWE-243,Creation of chroot Jail Without Changing Working Directory,Variant,{"CWE-664":2}
CWE-244,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),Variant,{"CWE-664":4}
CWE-25,Path Traversal: '/../filedir',Variant,{"CWE-664":4}
CWE-26,Path Traversal: '/dir/../filename',Variant,{"CWE-664":4}
CWE-27,Path Traversal: 'dir/../../filename',Variant,{"CWE-664":4}
CWE-28,Path Traversal: '..filedir',Variant,{"CWE-664":4}
CWE-29,Path Traversal: '..filename',Variant,{"CWE-664":4}
CWE-30,Path Traversal: 'dir..filename',Variant,{"CWE-664":4}
CWE-31,Path Traversal: 'dir....filename',Variant,{"CWE-664":4}
CWE-32,Path Traversal: '...' (Triple Dot),Variant,{"CWE-664":4}
CWE-672,Operation on a Resource after Expiration or Release,Class,{"CWE-664":2}
CWE-324,Use of a Key Past its Expiration Date,Base,{"CWE-664":3}
CWE-33,Path Traversal: '....' (Multiple Dot),Variant,{"CWE-664":4}
CWE-34,Path Traversal: '....//',Variant,{"CWE-664":4}
CWE-35,Path Traversal: '.../...//',Variant,{"CWE-664":4}
CWE-356,Product UI does not Warn User of Unsafe Actions,Base,{"CWE-664":2}
CWE-359,Exposure of Private Personal Information to an Unauthorized Actor,Base,{"CWE-664":3}
CWE-36,Absolute Path Traversal,Base,{"CWE-664":3}
CWE-37,Path Traversal: '/absolute/pathname/here',Variant,{"CWE-664":4}
CWE-372,Incomplete Internal State Distinction,Base,{"CWE-664":1}
CWE-374,Passing Mutable Objects to an Untrusted Method,Base,{"CWE-664":2}
CWE-375,Returning a Mutable Object to an Untrusted Caller,Base,{"CWE-664":2}
CWE-377,Insecure Temporary File,Class,{"CWE-664":2}
CWE-378,Creation of Temporary File With Insecure Permissions,Base,{"CWE-664":3}
CWE-379,Creation of Temporary File in Directory with Insecure Permissions,Base,{"CWE-664":3}
CWE-38,Path Traversal: 'absolutepathnamehere',Variant,{"CWE-664":4}
CWE-610,Externally Controlled Reference to a Resource in Another Sphere,Class,{"CWE-664":1}
CWE-384,Session Fixation,Compound,{"CWE-664":2}
CWE-514,Covert Channel,Class,{"CWE-664":2}
CWE-385,Covert Timing Channel,Base,{"CWE-664":3}
CWE-386,Symbolic Name not Mapping to Correct Object,Base,{"CWE-664":2}
CWE-39,Path Traversal: 'C:dirname',Variant,{"CWE-664":4}
CWE-40,Path Traversal: 'UNCsharename' (Windows UNC Share),Variant,{"CWE-664":4}
CWE-401,Missing Release of Memory after Effective Lifetime,Variant,{"CWE-664":3}
CWE-402,Transmission of Private Resources into a New Sphere ('Resource Leak'),Class,{"CWE-664":2}
CWE-403,Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak'),Base,{"CWE-664":3}
CWE-406,Insufficient Control of Network Message Volume (Network Amplification),Class,{"CWE-664":3}
CWE-409,Improper Handling of Highly Compressed Data (Data Amplification),Base,{"CWE-664":3}
CWE-41,Improper Resolution of Path Equivalence,Base,{"CWE-664":2}
CWE-410,Insufficient Resource Pool,Base,{"CWE-664":1}
CWE-412,Unrestricted Externally Accessible Lock,Base,{"CWE-664":3}
CWE-413,Improper Resource Locking,Base,{"CWE-664":3}
CWE-414,Missing Lock Check,Base,{"CWE-664":3}
CWE-825,Expired Pointer Dereference,Base,{"CWE-664":3}
CWE-415,Double Free,Variant,{"CWE-664":4}
CWE-416,Use After Free,Variant,{"CWE-664":4}
CWE-42,Path Equivalence: 'filename.' (Trailing Dot),Variant,{"CWE-664":3}
CWE-426,Untrusted Search Path,Base,{"CWE-664":3}
CWE-427,Uncontrolled Search Path Element,Base,{"CWE-664":2}
CWE-428,Unquoted Search Path or Element,Base,{"CWE-664":2}
CWE-43,Path Equivalence: 'filename....' (Multiple Trailing Dot),Variant,{"CWE-664":4}
CWE-433,Unparsed Raw Web Content Delivery,Variant,{"CWE-664":4}
CWE-434,Unrestricted Upload of File with Dangerous Type,Base,{"CWE-664":2}
CWE-44,Path Equivalence: 'file.name' (Internal Dot),Variant,{"CWE-664":3}
CWE-45,Path Equivalence: 'file...name' (Multiple Internal Dot),Variant,{"CWE-664":4}
CWE-453,Insecure Default Variable Initialization,Variant,{"CWE-664":4}
CWE-454,External Initialization of Trusted Variables or Data Stores,Base,{"CWE-664":3}
CWE-456,Missing Initialization of a Variable,Variant,{"CWE-664":3}
CWE-908,Use of Uninitialized Resource,Base,{"CWE-664":2}
CWE-457,Use of Uninitialized Variable,Variant,{"CWE-664":3}
CWE-46,Path Equivalence: 'filename ' (Trailing Space),Variant,{"CWE-664":3}
CWE-460,Improper Cleanup on Thrown Exception,Base,{"CWE-664":3}
CWE-466,Return of Pointer Value Outside of Expected Range,Base,{"CWE-664":3}
CWE-47,Path Equivalence: ' filename' (Leading Space),Variant,{"CWE-664":3}
CWE-913,Improper Control of Dynamically-Managed Code Resources,Class,{"CWE-664":1}
CWE-470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),Base,{"CWE-664":2}
CWE-471,Modification of Assumed-Immutable Data (MAID),Base,{"CWE-664":1}
CWE-472,External Control of Assumed-Immutable Web Parameter,Base,{"CWE-664":3}
CWE-473,PHP External Variable Modification,Variant,{"CWE-664":2}
CWE-48,Path Equivalence: 'file name' (Internal Whitespace),Variant,{"CWE-664":3}
CWE-487,Reliance on Package-level Scope,Base,{"CWE-664":1}
